Identifier,Company Name,Country of Exchange,"Company Market Cap(USD)","Historic P/E(FY0)","Total Debt to Total Equity, Percent(FY0)",Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To Sales (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),"Enterprise Value (Daily Time Series)(USD)",Price To Book Value Per Share (Daily Time Series Ratio),"Quick Ratio(FY0)","Current Ratio(FY0)","Total Assets, Reported(FY0, USD)",Dividend yield,"Revenue(FY0, USD)","Net Income After Taxes(FY0, USD)","Capital Expenditures(FY0, USD)","Retained Earnings, TTM(FI0, USD)"
CHP.HN,Central Hydropower JSC,Vietnam,109961979.3,8.33,0.89,6.66,5.33,10.05,0.4,155608084.6,1.71,1.34,1.48,144807475.6,0.08,32442631.15,14604143.61,-4735726.09,10913214.64
SSF.HNO,SaiGon Shoes JSC,Vietnam,2105263.16,,,,,,0.14,2309577.34,11.28,,,1598308.89,0,4440875.11,,,
POM.HM,Pomina Steel Corp,Vietnam,77548764.65,46.77,1.85,9.24,0.51,18.46,0.67,225969361,0.7,0.49,1.01,316874249.8,0,436280188.8,1237523.32,-1047873.2,4124908.17
VT1.HNO,Ben Thanh Material JSC,Vietnam,1146367.26,11.98,0.58,,,,0.47,2045157.31,0.71,0.71,1.05,3640655.58,0.05,2374242.79,69677.54,-292561.5,
V21.HN,Vinaconex 21 JSC,Vietnam,1056211.96,11.74,1.58,8.45,0.59,,0.82,4495701.97,0.44,0.67,1.04,13355537.2,0,7420672.13,48852.36,-1415.4,-88180.83
LIG.HN,Licogi 13 JSC,Vietnam,9204362.35,3.7,2.11,10.26,0.65,2.68,0.67,34006365.07,0.66,0.7,1.04,63182552.94,0.06,57906321.65,1664586.01,-1553394.77,1169811.85
MCC.HN,High Grade Brick Tile Corp,Vietnam,3458900.89,6.45,0,4.91,1.51,9.1,0,3392214.51,1.39,1.85,4.09,2971825.89,0.05,2178438.25,485720.59,-311962.39,376187.44
TET.HN,Northern Textiles and Garments JSC,Vietnam,5104672.4,8.08,0,9.09,2.26,18.21,0.11,4309143.71,1.51,2.74,2.75,3560337.63,0.08,1836794,608847.12,-26843.42,38174.47
KSD.HN,DNA Investment Joint Stock Corp,Vietnam,1933404.94,7.7,0.13,4.61,0.54,4.99,0.13,2097593.22,0.47,2.46,2.7,4596363.06,0,3867553.48,312135.26,-67452.4,378384.94
HPB.HNO,PP Pack Making JSC,Vietnam,2604189.04,,,,,,0.23,1745606.99,0.63,,,6633387.89,0.1,12787352.12,,-286885.01,293885.42
PTT.HNO,Indochina Petroleum Transportation JSC,Vietnam,47902255.64,9.3,0.11,,,,0.01,40575252.15,0.41,1.7,1.74,7312629.21,0,14609392.62,172228.01,-1123891.86,
NBW.HNO,Nha Be Water Supply JSC,Vietnam,7561314,,,,,,0,3294702.8,1.01,,,11083042.57,0.06,22922933.64,,-1283163.58,
DAP.HNO,Dong A Packaging JSC,Vietnam,1586466.17,,0.18,,,,0.76,675165.35,0.55,1.64,1.77,5810657.61,0.09,12608057.96,575345.08,-1953026.98,
CT6.HN,Construction JSC No 6,Vietnam,2404702.79,52.36,1.04,6.38,0.49,51.2,0.63,5504799.44,7.11,0.79,1.2,11297312.39,0.08,11150995.28,46682.23,-105274.18,-159729.91
TDC.HM,Binh Duong Trade and Development Joint-Stock Co,Vietnam,27747941.28,7.01,2.04,8.89,1.91,7.06,0.78,130628622.9,0.56,0.39,1.42,327145577.5,0.16,69465699.25,4850292.47,-846025.98,4073395.47
OGC.HM,Ocean Group JSC,Vietnam,40279269.47,2.12,1.18,,2.87,1.34,0.53,122335752.5,0.67,0.92,1,307834052.1,,41357326.88,30301922.58,-1367218.47,28180548.13
LCC.HNO,Lang Son Cement JSC,Vietnam,313587.49,,,,,,0.99,23442244.9,,,,19972992.26,0,8205912.18,,-425921.69,
DPP.HNO,Dongnai Pharmaceutical JSC,Vietnam,1004097.35,6.79,0.08,,,,0.07,1498146.48,1.12,0.65,1.3,3286321.7,0.1,7524470.95,154736.91,-4817.34,
HNOmad.HNO,Unlisted Public Company Market,Vietnam,,,,,,,,,,,,,,,,,
HTC.HN,HocMon Trade JSC,Vietnam,13956766.92,7.43,0,3.69,0.13,11.18,0,6735465.86,1.72,3.18,3.25,17314955.5,0.03,55751141.41,1550581.75,-130657.03,908369.08
VCR.HN,Vinaconex Investment and Tourism Development JSC,Vietnam,4573755.82,32.43,0.51,83.01,15.06,262.22,0.62,11310049.49,0.32,0.06,0.06,39528859.39,0,1143291.33,120831.29,-177702.75,17369.83
DNY.HN,Dana Y Steel JSC,Vietnam,9666851.77,16,4.01,7.73,0.77,30.65,0.89,58195911.29,0.59,0.19,1.01,109885641.8,0.06,76680331.78,367831.75,-6351512.14,312736.11
NVT.HM,Ninh Van Bay Travel Real Estate JSC,Vietnam,9720730.4,,0.43,,7.54,,0.46,29845013.47,0.32,2.36,2.43,58353433.05,0,4273881.59,-5623883.93,-109707.06,-5695210.71
VCM.HN,Vinaconex Trading and Manpower JSC,Vietnam,2363050.48,4.54,0,-3.49,-0.4,6.97,,-1177262.16,1.11,0.9,0.98,7556028.68,0.14,3040522.29,323337.52,-69454.75,340542.84
NTB.HNO,Transport Engineering Construction and Business Investment JSC 584,Vietnam,1068194.87,,,,,,,1069343.47,,,,154750385.1,,1231966.73,,0,
PSL.HNO,Phu Son Livestock JSC,Vietnam,18750000,,,,,,0.01,11666874.4,2,,,10060394.2,0.06,20732598.43,,-183278.38,
SPM.HM,SPM Corp,Vietnam,12263829.22,12.11,0.19,9.51,0.74,15.37,0.35,18575463.16,0.38,2.95,3.2,51558131.05,0,26801433.71,869982.77,-568166.41,804532.5
IN4.HNO,No4 Printing JSC,Vietnam,1229860.37,5.29,0,,,,0,237002.91,1.24,3.79,3.91,1414160.79,0.13,2156423.02,230787.96,0,
DXL.HNO,Lang Son Tourism and Import Export JSC,Vietnam,317712.14,,,,,,1.2,2463072.27,0.22,,,4554125.38,0,829776.93,,-2606.76,
CX8.HN,Constrexim No 8 Investment and Construction JSC,Vietnam,707212.23,15.99,0.02,8.01,0.13,14.94,0.08,641324.76,0.63,1.07,1.26,3991174.7,0.06,4458032.77,44450.17,-44035.43,48565.98
DLR.HN,DaLat Real Estate JSC,Vietnam,1087540.28,46.76,2.36,,1.1,,0.83,5672210.96,0.62,0.96,1.56,9595981.71,0,5394742.13,50519.03,-204137.49,-42277.01
KHB.HN,HoaBinh Mineral JSC,Vietnam,5985825.97,61.9,0.01,50.41,1.17,53.89,0.03,6073473.6,0.45,1.32,1.61,15713929.7,0,3532710.75,73900.64,,92832.94
TNT.HM,Tai Nguyen Corp,Vietnam,29900644.47,52.05,0,98.19,21.71,60.94,0,30366759.79,2.54,1.19,1.19,8617463.54,0,3325749.37,319538.85,,299865.44
HU1.HM,HUD1 Investment and Construction JSC,Vietnam,2909058.36,9.22,1.3,22.25,0.46,10.32,0.82,11487572.22,0.38,0.95,1.35,27753691.09,0.09,27993504.18,373037.73,-6005.34,274391.88
KSC.HNO,Khanh Hoa Salt JSC,Vietnam,66949.93,0.42,0.1,,,,,-144457.48,0.03,0.96,1.18,3378180.87,3.25,3086894.14,789400.58,-172721.98,
SBA.HM,Song Ba JSC,Vietnam,26442250.44,11.3,0.09,4.35,3.53,13.2,0.11,28770267.21,0.87,0.78,0.79,64793466.63,0.1,8671075.62,2302925.68,-89554.27,1982309.12
IDV.HN,VinhPhuc Infrastructure Development JSC,Vietnam,17974012.44,5.74,0.03,3.48,2.29,5.74,0.02,8026428.19,2.66,9.32,11.15,22428889.68,0.07,2835045.37,2138452.53,-481987.36,1643493.31
GER.HNO,Geru Star Sport JSC,Vietnam,433225.92,,,,,,0.61,898677.5,0.4,,,2189128.21,0.14,3302860.39,,-71174.38,
PXT.HM,Petroleum Pipeline & Tank Construction JSC,Vietnam,6623702.11,2.79,0.35,2.01,0.24,3.31,0.24,4561748.46,2.47,0.48,0.9,12064732.21,0,13663466.07,1498292.17,-134336.23,2064110.92
AME.HN,Alphanam E&C JSC,Vietnam,2148227.71,36.8,0.31,7.51,0.21,34.61,0.44,3428769.26,0.36,0.6,0.94,16969716.51,,15537058.11,58015.13,-46078.17,61893.08
PXS.HM,Petroleum Equipment Assembly and Metal Structure JSC,Vietnam,37056928.03,6,0.55,5.04,0.64,7.27,0.39,54578463.25,1.08,0.87,1.14,78488936.23,0.11,77626556.11,4880638.74,-3916613.68,1964626.1
DTL.HM,Dai Thien Loc Corp,Vietnam,34386971.21,,1.38,13.1,0.83,,0.62,75919512.61,0.94,0.16,0.97,107299096.3,0,82429941,-2817496.61,-142484.12,-2489794.58
VNX.HNO,Vinexad National Trade Fair and Advertising JSC,Vietnam,87715.57,,,,,,,-513862.85,0.09,,,1526093.81,1.19,4805726.42,,,
GDW.HNO,Gia Dinh Water Supply JSC,Vietnam,5272108.84,,,,,,0.02,4599300.75,0.91,,,9182086.84,0.05,18784715.27,,-1109614.91,
PDN.HM,Dong Nai Port JSC,Vietnam,24978921.07,9.76,0.72,8.55,2.27,11.43,0.36,34104983.38,1.71,0.9,0.91,28637018.49,0.04,14342802.42,2267726.9,-8206842.82,2202223.48
BWA.HNO,Bao Loc Supply Sewerage and Construction JSC,Vietnam,580021.48,,,,,,0,564853.81,,,,1624034.72,0.09,1020647.17,,-33659.76,
VXB.HN,Ben Tre Contruction Material JSC,Vietnam,1938970.83,,1.17,8.48,0.52,9.14,0.63,5087137.69,0.69,1.05,1.21,7842900.74,0.11,9184468.17,259644.36,-211923,218956.85
PXI.HM,Petroleum Industrial and Civil Construction JSC,Vietnam,7921589.69,4.72,1.45,7.61,0.6,5.49,0.78,25374638.98,0.52,0.82,1.04,55316039.39,0.18,50690227.48,1582392.19,-1083231.74,1447407.94
